date, pm25
2020/1/2, 12
2020/1/3, 33
2020/1/4, 24
2020/1/5, 18
2020/1/6, 20
2020/1/7, 28
2020/1/8, 20
2020/1/9, 33
2020/1/10, 50
2020/1/11, 37
2020/1/12, 46
2020/1/13, 43
2020/1/14, 42
2020/1/15, 51
2020/1/16, 80
2019/10/1, 29
2019/10/2, 28
2019/10/3, 28
2019/10/4, 34
2019/10/5, 25
2019/10/6, 23
2019/10/7, 35
2019/10/8, 19
2019/10/9, 23
2019/10/10, 23
2019/10/11, 38
2019/10/12, 38
2019/10/13, 36
2019/10/14, 38
2019/10/15, 42
2019/10/16, 47
2019/10/17, 38
2019/10/18, 36
2019/10/19, 44
2019/10/20, 34
2019/10/21, 28
2019/10/22, 20
2019/10/23, 16
2019/10/24, 26
2019/10/25, 17
2019/10/26, 17
2019/10/27, 21
2019/10/28, 22
2019/10/29, 30
2019/10/30, 43
2019/10/31, 29
2019/11/1, 38
2019/11/2, 23
2019/11/3, 27
2019/11/4, 33
2019/11/5, 25
2019/11/6, 27
2019/11/7, 46
2019/11/8, 53
2019/11/9, 39
2019/11/10, 25
2019/11/11, 38
2019/11/12, 60
2019/11/13, 25
2019/11/14, 45
2019/11/15, 57
2019/11/16, 20
2019/11/17, 25
2019/11/18, 31
2019/11/19, 32
2019/11/20, 28
2019/11/21, 31
2019/11/22, 36
2019/11/23, 36
2019/11/24, 17
2019/11/25, 27
2019/11/26, 31
2019/11/27, 38
2019/11/28, 27
2019/11/29, 35
2019/11/30, 39
2019/12/1, 72
2019/12/2, 52
2019/12/3, 22
2019/12/4, 30
2019/12/5, 39
2019/12/6, 52
2019/12/7, 36
2019/12/8, 43
2019/12/9, 67
2019/12/10, 42
2019/12/11, 33
2019/12/12, 40
2019/12/13, 21
2019/12/14, 22
2019/12/15, 12
2019/12/16, 15
2019/12/17, 35
2019/12/18, 49
2019/12/19, 53
2019/12/20, 19
2019/12/21, 22
2019/12/22, 38
2019/12/23, 59
2019/12/24, 60
2019/12/25, 26
2019/12/26, 43
2019/12/27, 42
2019/12/28, 37
2019/7/1, 32
2019/7/2, 26
2019/7/3, 23
2019/7/4, 32
2019/7/5, 21
2019/7/6, 34
2019/7/7, 26
2019/7/8, 26
2019/7/9, 23
2019/7/10, 37
2019/7/11, 35
2019/7/12, 26
2019/7/13, 32
2019/7/14, 30
2019/7/15, 26
2019/7/16, 24
2019/7/17, 31
2019/7/18, 26
2019/7/19, 23
2019/7/20, 31
2019/7/21, 23
2019/7/22, 46
2019/7/23, 43
2019/7/24, 27
2019/7/25, 19
2019/7/26, 31
2019/7/27, 53
2019/7/28, 36
2019/7/29, 40
2019/7/30, 42
2019/7/31, 36
2019/8/1, 34
2019/8/2, 26
2019/8/3, 27
2019/8/4, 30
2019/8/5, 34
2019/8/6, 50
2019/8/7, 54
2019/8/8, 67
2019/8/9, 34
2019/8/10, 34
2019/8/11, 25
2019/8/12, 20
2019/8/13, 23
2019/8/14, 29
2019/8/15, 24
2019/8/16, 30
2019/8/17, 25
2019/8/18, 29
2019/8/19, 27
2019/8/20, 25
2019/8/21, 36
2019/8/22, 29
2019/8/23, 30
2019/8/24, 24
2019/8/25, 21
2019/8/26, 20
2019/8/27, 27
2019/8/28, 29
2019/8/29, 26
2019/8/30, 32
2019/8/31, 26
2019/9/1, 34
2019/9/2, 35
2019/9/3, 30
2019/9/4, 41
2019/9/5, 46
2019/9/6, 43
2019/9/7, 21
2019/9/8, 19
2019/9/9, 23
2019/9/10, 22
2019/9/11, 19
2019/9/12, 23
2019/9/13, 27
2019/9/14, 24
2019/9/15, 31
2019/9/16, 43
2019/9/17, 32
2019/9/18, 20
2019/9/19, 24
2019/9/20, 21
2019/9/21, 20
2019/9/22, 24
2019/9/23, 12
2019/9/24, 11
2019/9/25, 21
2019/9/26, 26
2019/9/27, 22
2019/9/28, 9
2019/9/29, 23
2019/9/30, 20
2019/4/1, 38
2019/4/2, 35
2019/4/3, 32
2019/4/4, 32
2019/4/5, 43
2019/4/6, 21
2019/4/7, 25
2019/4/8, 19
2019/4/9, 35
2019/4/10, 29
2019/4/11, 27
2019/4/12, 27
2019/4/13, 30
2019/4/14, 23
2019/4/15, 32
2019/4/16, 35
2019/4/17, 27
2019/4/18, 31
2019/4/19, 22
2019/4/20, 41
2019/4/21, 35
2019/4/22, 26
2019/4/23, 24
2019/4/24, 31
2019/4/25, 43
2019/4/26, 35
2019/4/27, 36
2019/4/28, 33
2019/4/29, 31
2019/4/30, 31
2019/5/1, 34
2019/5/2, 39
2019/5/3, 35
2019/5/4, 35
2019/5/5, 35
2019/5/6, 23
2019/5/7, 27
2019/5/8, 27
2019/5/9, 30
2019/5/10, 39
2019/5/11, 32
2019/5/12, 35
2019/5/13, 42
2019/5/14, 46
2019/5/15, 29
2019/5/16, 17
2019/5/17, 25
2019/5/18, 28
2019/5/19, 26
2019/5/20, 41
2019/5/21, 21
2019/5/22, 24
2019/5/23, 27
2019/5/24, 25
2019/5/25, 27
2019/5/26, 25
2019/5/27, 17
2019/5/28, 25
2019/5/29, 24
2019/5/30, 41
2019/5/31, 134
2019/6/1, 66
2019/6/2, 37
2019/6/3, 34
2019/6/4, 28
2019/6/5, 20
2019/6/6, 24
2019/6/7, 18
2019/6/8, 15
2019/6/9, 16
2019/6/10, 21
2019/6/11, 35
2019/6/12, 46
2019/6/13, 28
2019/6/14, 32
2019/6/15, 22
2019/6/16, 30
2019/6/17, 24
2019/6/18, 22
2019/6/19, 24
2019/6/20, 20
2019/6/21, 19
2019/6/22, 23
2019/6/23, 25
2019/6/24, 14
2019/6/25, 26
2019/6/26, 26
2019/6/27, 32
2019/6/28, 24
2019/6/29, 20
2019/6/30, 22
2019/1/1, 53
2019/1/2, 20
2019/1/3, 27
2019/1/4, 35
2019/1/5, 71
2019/1/6, 27
2019/1/7, 27
2019/1/8, 21
2019/1/9, 52
2019/1/10, 62
2019/1/11, 51
2019/1/12, 56
2019/1/13, 53
2019/1/14, 63
2019/1/15, 72
2019/1/16, 76
2019/1/17, 44
2019/1/18, 41
2019/1/19, 39
2019/1/20, 40
2019/1/21, 24
2019/1/22, 38
2019/1/23, 26
2019/1/24, 52
2019/1/25, 56
2019/1/26, 21
2019/1/27, 21
2019/1/28, 30
2019/1/29, 49
2019/1/30, 70
2019/1/31, 80
2019/2/1, 51
2019/2/2, 45
2019/2/3, 33
2019/2/4, 26
2019/2/5, 23
2019/2/6, 26
2019/2/7, 58
2019/2/8, 63
2019/2/9, 44
2019/2/10, 51
2019/2/11, 84
2019/2/12, 131
2019/2/13, 43
2019/2/14, 59
2019/2/15, 58
2019/2/16, 53
2019/2/17, 39
2019/2/18, 51
2019/2/19, 73
2019/2/20, 69
2019/2/21, 39
2019/2/22, 73
2019/2/23, 68
2019/2/24, 36
2019/2/25, 33
2019/2/26, 31
2019/2/27, 28
2019/2/28, 47
2019/3/1, 49
2019/3/2, 23
2019/3/3, 40
2019/3/4, 70
2019/3/5, 85
2019/3/6, 71
2019/3/7, 70
2019/3/8, 92
2019/3/9, 86
2019/3/10, 72
2019/3/11, 70
2019/3/12, 86
2019/3/13, 50
2019/3/14, 51
2019/3/15, 52
2019/3/16, 65
2019/3/17, 79
2019/3/18, 86
2019/3/19, 98
2019/3/20, 87
2019/3/21, 95
2019/3/22, 90
2019/3/23, 80
2019/3/24, 48
2019/3/25, 39
2019/3/26, 40
2019/3/27, 35
2019/3/28, 32
2019/3/29, 29
2019/3/30, 38
2019/3/31, 38
2018/10/1, 23
2018/10/2, 15
2018/10/3, 19
2018/10/4, 18
2018/10/5, 18
2018/10/6, 23
2018/10/7, 19
2018/10/8, 21
2018/10/9, 8
2018/10/10, 11
2018/10/11, 19
2018/10/12, 19
2018/10/13, 12
2018/10/14, 13
2018/10/15, 27
2018/10/16, 32
2018/10/17, 40
2018/10/18, 30
2018/10/19, 35
2018/10/20, 40
2018/10/21, 44
2018/10/22, 47
2018/10/23, 46
2018/10/24, 38
2018/10/25, 22
2018/10/26, 16
2018/10/27, 15
2018/10/28, 18
2018/10/29, 14
2018/10/30, 15
2018/10/31, 17
2018/11/1, 12
2018/11/2, 15
2018/11/3, 13
2018/11/4, 11
2018/11/5, 15
2018/11/6, 25
2018/11/7, 28
2018/11/8, 38
2018/11/9, 35
2018/11/10, 21
2018/11/11, 36
2018/11/12, 40
2018/11/13, 46
2018/11/14, 47
2018/11/15, 17
2018/11/16, 23
2018/11/17, 34
2018/11/18, 48
2018/11/19, 52
2018/11/20, 54
2018/11/21, 47
2018/11/22, 53
2018/11/23, 33
2018/11/24, 34
2018/11/25, 38
2018/11/26, 45
2018/11/27, 52
2018/11/28, 24
2018/11/29, 40
2018/11/30, 65
2018/12/1, 54
2018/12/2, 41
2018/12/3, 35
2018/12/4, 12
2018/12/5, 27
2018/12/6, 40
2018/12/7, 67
2018/12/8, 70
2018/12/9, 51
2018/12/10, 52
2018/12/11, 16
2018/12/12, 23
2018/12/13, 18
2018/12/14, 30
2018/12/15, 22
2018/12/16, 38
2018/12/17, 44
2018/12/18, 23
2018/12/19, 13
2018/12/20, 30
2018/12/21, 10
2018/12/22, 18
2018/12/23, 34
2018/12/24, 18
2018/12/25, 29
2018/12/26, 40
2018/12/27, 35
2018/12/28, 28
2018/12/29, 15
2018/12/30, 17
2018/7/1, 14
2018/7/2, 15
2018/7/3, 20
2018/7/4, 34
2018/7/5, 23
2018/7/6, 40
2018/7/7, 26
2018/7/8, 34
2018/7/9, 42
2018/7/10, 43
2018/7/11, 17
2018/7/12, 25
2018/7/13, 40
2018/7/14, 34
2018/7/15, 27
2018/7/16, 37
2018/7/17, 42
2018/7/18, 39
2018/7/19, 38
2018/7/20, 40
2018/7/21, 39
2018/7/22, 26
2018/7/23, 23
2018/7/24, 29
2018/7/25, 24
2018/7/26, 34
2018/7/27, 28
2018/7/28, 35
2018/7/29, 41
2018/7/30, 41
2018/7/31, 52
2018/8/1, 70
2018/8/2, 82
2018/8/3, 44
2018/8/4, 33
2018/8/5, 38
2018/8/6, 39
2018/8/7, 53
2018/8/8, 68
2018/8/9, 63
2018/8/10, 73
2018/8/11, 69
2018/8/12, 62
2018/8/13, 64
2018/8/14, 61
2018/8/15, 66
2018/8/16, 76
2018/8/17, 90
2018/8/18, 91
2018/8/19, 164
2018/8/20, 94
2018/8/21, 48
2018/8/22, 55
2018/8/23, 101
2018/8/24, 110
2018/8/25, 82
2018/8/26, 29
2018/8/27, 22
2018/8/28, 31
2018/8/29, 37
2018/8/30, 30
2018/8/31, 20
2018/9/1, 20
2018/9/2, 19
2018/9/3, 31
2018/9/4, 36
2018/9/5, 33
2018/9/6, 43
2018/9/7, 38
2018/9/8, 59
2018/9/9, 35
2018/9/10, 40
2018/9/11, 21
2018/9/12, 33
2018/9/13, 34
2018/9/14, 25
2018/9/15, 29
2018/9/16, 21
2018/9/17, 30
2018/9/18, 25
2018/9/19, 18
2018/9/20, 18
2018/9/21, 22
2018/9/22, 28
2018/9/23, 13
2018/9/24, 15
2018/9/25, 15
2018/9/26, 17
2018/9/27, 12
2018/9/28, 8
2018/9/29, 13
2018/9/30, 10
2018/4/1, 25
2018/4/2, 28
2018/4/3, 39
2018/4/4, 25
2018/4/5, 42
2018/4/6, 22
2018/4/7, 42
2018/4/8, 17
2018/4/9, 10
2018/4/10, 18
2018/4/11, 9
2018/4/12, 19
2018/4/13, 17
2018/4/14, 16
2018/4/15, 19
2018/4/16, 22
2018/4/17, 17
2018/4/18, 14
2018/4/19, 20
2018/4/20, 24
2018/4/21, 31
2018/4/22, 16
2018/4/23, 20
2018/4/24, 21
2018/4/25, 29
2018/4/26, 42
2018/4/27, 41
2018/4/28, 35
2018/4/29, 17
2018/4/30, 17
