date, pm10
2020/1/2, 9
2020/1/3, 11
2020/1/4, 10
2020/1/5, 13
2020/1/6, 9
2020/1/7, 15
2020/1/8, 11
2020/1/9, 13
2020/1/10, 11
2020/1/11, 12
2020/1/12, 12
2020/1/13, 15
2020/1/14, 17
2020/1/15, 15
2020/1/16, 17
2019/10/1, 15
2019/10/2, 13
2019/10/3, 15
2019/10/4, 22
2019/10/5, 15
2019/10/6, 15
2019/10/7, 20
2019/10/8, 13
2019/10/9, 5
2019/10/10, 5
2019/10/11, 2
2019/10/12, 6
2019/10/13, 7
2019/10/14, 6
2019/10/15, 8
2019/10/16, 18
2019/10/17, 16
2019/10/18, 10
2019/10/19, 5
2019/10/20, 10
2019/10/21, 10
2019/10/22, 6
2019/10/23, 9
2019/10/24, 5
2019/10/25, 13
2019/10/26, 18
2019/10/27, 9
2019/10/28, 6
2019/10/29, 5
2019/10/30, 8
2019/10/31, 7
2019/11/1, 20
2019/11/2, 14
2019/11/3, 15
2019/11/4, 21
2019/11/5, 15
2019/11/6, 9
2019/11/7, 11
2019/11/8, 6
2019/11/9, 26
2019/11/10, 5
2019/11/11, 11
2019/11/12, 8
2019/11/13, 14
2019/11/14, 3
2019/11/15, 6
2019/11/16, 6
2019/11/17, 5
2019/11/18, 5
2019/11/19, 9
2019/11/20, 8
2019/11/21, 10
2019/11/22, 14
2019/11/23, 15
2019/11/24, 20
2019/11/25, 16
2019/11/26, 17
2019/11/27, 9
2019/11/28, 16
2019/11/29, 17
2019/11/30, 15
2019/12/1, 9
2019/12/2, 16
2019/12/3, 14
2019/12/4, 8
2019/12/5, 6
2019/12/6, 10
2019/12/7, 11
2019/12/8, 6
2019/12/9, 11
2019/12/10, 13
2019/12/11, 8
2019/12/12, 8
2019/12/13, 16
2019/12/14, 9
2019/12/15, 8
2019/12/16, 7
2019/12/17, 8
2019/12/18, 9
2019/12/19, 11
2019/12/20, 9
2019/12/21, 9
2019/12/22, 11
2019/12/23, 13
2019/12/24, 9
2019/12/25, 9
2019/12/26, 10
2019/12/27, 8
2019/12/28, 8
2019/12/29, 14
2019/7/19, 12
2019/7/20, 5
2019/7/21, 2
2019/7/22, 6
2019/7/23, 9
2019/7/24, 11
2019/7/26, 44
2019/7/30, 14
2019/7/31, 5
2019/8/1, 7
2019/8/2, 8
2019/8/3, 9
2019/8/4, 4
2019/8/5, 6
2019/8/6, 7
2019/8/7, 14
2019/8/8, 25
2019/8/9, 10
2019/8/10, 6
2019/8/11, 3
2019/8/12, 8
2019/8/13, 7
2019/8/14, 11
2019/8/15, 18
2019/8/16, 14
2019/8/17, 13
2019/8/18, 8
2019/8/19, 15
2019/8/20, 22
2019/8/21, 8
2019/8/22, 13
2019/8/23, 12
2019/8/24, 10
2019/8/25, 7
2019/8/26, 4
2019/8/27, 12
2019/8/28, 17
2019/8/29, 9
2019/8/30, 14
2019/8/31, 11
2019/9/1, 12
2019/9/2, 19
2019/9/3, 21
2019/9/4, 12
2019/9/5, 12
2019/9/6, 12
2019/9/7, 6
2019/9/8, 14
2019/9/9, 10
2019/9/10, 17
2019/9/11, 14
2019/9/12, 11
2019/9/13, 17
2019/9/14, 15
2019/9/15, 14
2019/9/16, 13
2019/9/17, 9
2019/9/18, 11
2019/9/19, 11
2019/9/20, 16
2019/9/21, 12
2019/9/22, 13
2019/9/23, 15
2019/9/24, 8
2019/9/25, 9
2019/9/26, 5
2019/9/27, 11
2019/9/28, 11
2019/9/29, 21
2019/9/30, 7
